fips,white,non_white,pctwhite
13215,91696.0,189885.0,0.48290280959528137
13217,55512.0,99958.0,0.555353248364313
13219,29617.0,32808.0,0.9027371372835894
13221,11932.0,14899.0,0.8008591180616149
13223,112793.0,142324.0,0.7925086422528878
13225,14191.0,27695.0,0.5124029608232533
13227,28546.0,29431.0,0.969929665998437
13229,16659.0,18758.0,0.8881010768738672
13231,15681.0,17869.0,0.8775533046057418
13233,34926.0,41475.0,0.8420976491862567
13235,7905.0,12010.0,0.6582014987510408
13237,15168.0,21218.0,0.7148647374870393
13239,1290.0,2513.0,0.5133306804615997
13241,15652.0,16276.0,0.9616613418530351
13243,2870.0,7719.0,0.37180981992486073
13245,81675.0,200549.0,0.40725707931727406
13247,41627.0,85215.0,0.4884938097752743
13249,3763.0,5010.0,0.7510978043912175
13251,8008.0,14593.0,0.5487562529980128
13253,5679.0,8729.0,0.6505899873983274
13255,41048.0,64073.0,0.6406442651350803
13257,22581.0,26175.0,0.8626934097421204
13259,2714.0,6058.0,0.44800264113568833
13261,14784.0,32819.0,0.45047076388677293
13263,2692.0,6865.0,0.39213401310997814
13265,655.0,1717.0,0.38147932440302856
13267,17397.0,25520.0,0.6817006269592476
13269,5262.0,8906.0,0.5908376375477207
13271,10090.0,16500.0,0.6115151515151516
13273,3447.0,9315.0,0.370048309178744
13275,27121.0,44720.0,0.6064624329159213
13277,27217.0,40118.0,0.6784236502318162
13279,19646.0,27223.0,0.7216691767990302
13281,10298.0,10471.0,0.9834781778244676
13283,4551.0,6885.0,0.6610021786492375
13285,42244.0,67044.0,0.6300936698287691
13287,5030.0,8930.0,0.5632698768197089
13289,5140.0,9023.0,0.5696553252798404
13291,20829.0,21356.0,0.9753230942123994
13293,18950.0,27153.0,0.6978971016093986
13295,64395.0,68756.0,0.9365728081912851
13297,68087.0,83768.0,0.8128044121860376
13299,24605.0,36312.0,0.677599691562018
13301,2164.0,5834.0,0.3709290366815221
13303,9663.0,21187.0,0.4560815594468306
13305,23202.0,30099.0,0.7708561746237417
13307,1568.0,2799.0,0.5602000714540908
